City,BankState,ApprovalFY,NoEmp,NewExist,UrbanRural,RevLineCr,LowDoc,DisbursementGross,BalanceGross,Accept,Franchise,CreateJobBinary,RetainedJobBinary,DisbursementGross_rango,BalanceGross_rango
NORTHFIELD,RI,2006,2,1,1,0,0,8000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
CANTON,OH,2005,2,1,1,0,0,166000.0,0.0,1,0,1,1,Medio,Sin Saldo
SAWYERWOOD,OH,2003,2,1,2,1,0,25000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
COLUMBUS,OH,1995,2,1,0,0,0,220100.0,0.0,1,0,0,0,Alto,Sin Saldo
NEWARK,OH,2009,0,0,1,0,0,25000.0,0.0,0,0,0,0,Muy bajo,Sin Saldo
KETTERING,IN,2001,2,1,2,0,1,124000.0,0.0,1,0,0,0,Medio,Sin Saldo
CLEVELAND,RI,2006,11,0,1,1,0,160896.0,0.0,1,0,1,1,Medio,Sin Saldo
WOOSTER,MN,2000,1,1,2,0,1,43000.0,0.0,1,1,0,0,Bajo,Sin Saldo
HURON,DE,1997,7,0,0,0,0,75000.0,0.0,1,0,0,0,Bajo,Sin Saldo
WILLOUGHBY HILLS,OH,1994,4,0,0,0,0,75000.0,0.0,1,1,0,0,Bajo,Sin Saldo
UNIONTOWN,OH,1992,60,0,0,0,0,840000.0,0.0,1,0,0,0,Alto,Sin Saldo
CLEVELAND,RI,2006,50,0,1,1,0,75000.0,0.0,1,0,0,1,Bajo,Sin Saldo
COLUMBUS,CA,1999,18,0,0,0,0,360000.0,0.0,1,0,1,1,Alto,Sin Saldo
SCIO,OH,1997,2,0,0,0,1,45000.0,0.0,0,0,0,0,Bajo,Sin Saldo
WEST CHESTER,OH,2001,2,1,1,0,0,60000.0,0.0,1,0,1,0,Bajo,Sin Saldo
NEWTON FALLS,OH,1990,16,0,0,0,0,380000.0,0.0,1,0,0,0,Alto,Sin Saldo
LIMA,IL,1991,4,0,0,0,0,750000.0,0.0,1,0,0,0,Alto,Sin Saldo
CAMBRIDGE,OH,2009,17,1,2,0,0,15000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
HARRISON,OH,2001,8,0,1,0,1,107850.0,0.0,1,0,0,0,Medio,Sin Saldo
COLUMBUS,OH,2005,25,0,1,0,0,184500.0,0.0,1,0,0,0,Medio,Sin Saldo
DIAMOND,OH,2011,1,0,1,0,0,6200.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
WESTERVILLE,OH,2009,14,1,1,0,0,1783000.0,0.0,1,0,0,1,Alto,Sin Saldo
ALLIANCE,IL,2006,0,1,1,1,0,143317.0,0.0,1,0,1,0,Medio,Sin Saldo
BROADVIEW HEIGHTS,DE,2003,2,1,1,0,0,35000.0,0.0,1,1,1,1,Muy bajo,Sin Saldo
CLEVELAND,RI,2005,4,0,1,1,0,10000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
LISBON,OH,2006,1,1,2,0,0,105000.0,0.0,1,0,0,0,Medio,Sin Saldo
CINCINNATI,IN,2007,2,1,1,1,0,100599.0,0.0,1,0,1,0,Medio,Sin Saldo
ELYRIA,OH,2009,4,1,1,1,0,10000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
CHAGRIN FALLS,RI,2006,1,0,1,1,0,119062.0,0.0,1,0,0,1,Medio,Sin Saldo
TOLEDO,RI,2005,1,0,1,1,0,19845.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
TROY,OH,2005,45,0,2,0,0,1100000.0,0.0,1,0,0,1,Alto,Sin Saldo
COLUMBUS,IL,2005,4,1,1,0,0,80000.0,0.0,0,0,1,1,Bajo,Sin Saldo
BEAVERCREEK,OH,1995,12,0,0,0,0,227000.0,0.0,1,0,0,0,Alto,Sin Saldo
HUBBARD,OH,1998,3,1,0,0,1,76000.0,0.0,1,0,0,0,Bajo,Sin Saldo
PATASKALA,IL,2008,7,0,2,1,0,82731.0,0.0,0,0,0,1,Bajo,Sin Saldo
MEDINA,OH,1996,10,0,0,0,1,75000.0,0.0,1,0,0,0,Bajo,Sin Saldo
CLEVELAND,OH,2006,18,1,1,1,0,420000.0,0.0,1,0,1,1,Alto,Sin Saldo
LIMA,IL,1996,4,0,0,0,1,16000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
BEREA,OH,2000,2,0,1,0,0,189000.0,0.0,1,0,0,0,Medio,Sin Saldo
TALLMADGE,IL,1990,6,0,0,0,0,90346.0,0.0,1,0,0,0,Medio,Sin Saldo
CENTERVILLE,IL,1991,26,0,0,0,0,350000.0,0.0,1,0,0,0,Alto,Sin Saldo
CINCINNATI,VA,2003,22,0,1,0,0,50000.0,0.0,0,0,1,1,Bajo,Sin Saldo
LORAIN,OH,1995,8,0,0,0,1,100000.0,0.0,1,0,0,0,Medio,Sin Saldo
TROY,OH,1995,6,0,0,0,1,22500.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
MEDINA,OH,2006,15,0,1,1,0,295000.0,0.0,1,0,1,1,Alto,Sin Saldo
CLEVELAND,RI,2005,1,1,1,0,0,150000.0,0.0,1,0,0,1,Medio,Sin Saldo
TOLEDO,OH,2001,1,1,1,0,0,316000.0,0.0,1,1,1,0,Alto,Sin Saldo
KIRTLAND,OH,2011,0,0,1,1,0,34517.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
KIRTLAND,IL,2008,4,1,2,1,0,120916.0,0.0,1,0,1,1,Medio,Sin Saldo
CARLISLE,OH,1999,12,0,0,0,0,346200.0,0.0,1,0,1,1,Alto,Sin Saldo
PATASKALA,IL,1997,2,0,0,0,0,50000.0,0.0,1,0,0,0,Bajo,Sin Saldo
LORAIN,OH,1984,6,0,0,0,0,90000.0,0.0,0,0,0,0,Medio,Sin Saldo
COLUMBUS,CA,2007,25,0,1,0,0,100000.0,0.0,0,0,1,1,Medio,Sin Saldo
COLUMBUS,OH,1998,10,0,0,0,0,360000.0,0.0,1,0,0,0,Alto,Sin Saldo
DAYTON,DE,2006,3,1,1,1,0,16076.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
COLUMBUS,IL,2012,3,1,1,1,0,137500.0,0.0,1,0,1,1,Medio,Sin Saldo
SEVILLE,OH,2005,9,0,2,1,0,945500.0,0.0,1,0,0,1,Alto,Sin Saldo
COLUMBUS,VA,2006,5,0,1,0,0,50000.0,0.0,0,0,1,1,Bajo,Sin Saldo
CROOKSVILLE,IL,1989,10,1,0,0,0,200000.0,0.0,1,0,0,0,Medio,Sin Saldo
PARMA,OH,1997,1,1,0,0,0,148000.0,0.0,1,0,0,0,Medio,Sin Saldo
CINCINNATI,KY,1998,4,0,0,1,0,56385.0,0.0,1,0,0,0,Bajo,Sin Saldo
MENTOR,RI,2005,11,0,1,1,0,119499.0,0.0,1,0,0,1,Medio,Sin Saldo
MAYFIELD HEIGHTS,OH,2001,92,0,1,0,0,115000.0,0.0,1,0,0,0,Medio,Sin Saldo
AKRON,TX,2000,80,0,1,0,0,685000.0,0.0,1,0,1,1,Alto,Sin Saldo
RUSSELLS POINT,OH,1998,47,0,0,0,0,412000.0,0.0,1,0,1,1,Alto,Sin Saldo
HINCKLEY,IL,2005,2,0,2,0,0,113400.0,0.0,1,0,1,1,Medio,Sin Saldo
COLUMBUS,FL,2006,8,0,1,0,0,25000.0,0.0,0,0,0,1,Muy bajo,Sin Saldo
CANTON,OH,1996,23,0,0,0,1,100000.0,0.0,1,0,0,0,Medio,Sin Saldo
CRESTLINE,OH,2005,0,1,2,1,0,16671.0,0.0,0,0,0,0,Muy bajo,Sin Saldo
LORAIN,CT,2000,42,0,1,0,0,450000.0,0.0,1,0,0,0,Alto,Sin Saldo
FRANKLIN,TX,1998,70,0,0,0,0,1515000.0,0.0,1,0,1,0,Alto,Sin Saldo
DEFIANCE,OH,1995,15,0,0,1,0,650000.0,0.0,0,0,0,0,Alto,Sin Saldo
NORTH RIDGEVILLE,RI,2005,2,0,1,1,0,22996.0,0.0,0,0,0,1,Muy bajo,Sin Saldo
COLUMBUS,OH,2000,10,0,1,0,0,170000.0,0.0,1,0,1,1,Medio,Sin Saldo
FOREST,OH,2004,2,0,2,0,1,44500.0,0.0,0,0,0,0,Bajo,Sin Saldo
MADISON,IL,1996,2,0,0,0,1,65000.0,0.0,1,0,0,0,Bajo,Sin Saldo
MIDDLEFIELD,OH,2006,6,0,1,1,0,110767.0,0.0,1,0,0,1,Medio,Sin Saldo
DRESDEN,IL,2002,4,0,1,0,0,20000.0,0.0,1,0,0,1,Muy bajo,Sin Saldo
COLUMBUS,OH,2006,80,1,1,0,0,150000.0,0.0,1,0,1,1,Medio,Sin Saldo
PARMA HEIGHTS,OH,1993,5,1,0,0,0,180000.0,0.0,1,0,0,0,Medio,Sin Saldo
CANAL WINCHESTER,OH,1997,125,0,0,0,0,1000000.0,0.0,1,0,0,0,Alto,Sin Saldo
PLAIN CITY,IL,2004,11,0,2,0,0,100900.0,0.0,1,0,0,1,Medio,Sin Saldo
CINCINNATI,OH,2006,1,1,1,1,0,25000.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
COLUMBUS,OH,1998,22,0,0,0,1,79000.0,0.0,1,0,0,0,Bajo,Sin Saldo
SPRINGBORO,OH,1996,29,0,0,0,0,338000.0,0.0,1,0,1,1,Alto,Sin Saldo
CENTERVILLE,OH,2006,3,0,1,0,0,30000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
LOVELAND,OH,2007,0,0,2,1,0,44277.0,0.0,1,0,0,0,Bajo,Sin Saldo
GARFIELD HEIGHTS,OH,1996,1,0,0,0,0,14620.0,0.0,1,0,0,0,Muy bajo,Sin Saldo
TOLEDO,OH,2009,8,0,1,0,0,35000.0,0.0,1,0,1,1,Muy bajo,Sin Saldo
WESTERVILLE,OH,1984,8,0,0,0,0,69000.0,0.0,1,0,0,0,Bajo,Sin Saldo
ASHTABULA,CA,1996,30,1,0,0,0,127000.0,0.0,1,1,0,0,Medio,Sin Saldo
HAMILTON,OH,2006,3,0,1,1,0,116706.0,0.0,1,0,0,1,Medio,Sin Saldo
ELYRIA,OH,2004,8,0,1,1,0,224750.0,0.0,1,0,0,1,Alto,Sin Saldo
LOUISVILLE,RI,2007,1,0,2,1,0,10600.0,0.0,0,0,0,1,Muy bajo,Sin Saldo
SOLON,OH,2006,0,0,2,1,0,45000.0,0.0,1,0,0,0,Bajo,Sin Saldo
MENTOR,IL,2005,1,0,1,1,0,94944.0,0.0,0,0,0,1,Medio,Sin Saldo
COLUMBUS,OH,1996,16,0,0,0,1,90000.0,0.0,1,0,0,0,Medio,Sin Saldo
ANDOVER,OH,1997,3,0,0,0,1,41000.0,0.0,1,0,0,0,Bajo,Sin Saldo
LEWIS CENTER,OH,2010,2,0,1,0,0,130000.0,0.0,1,0,0,0,Medio,Sin Saldo
COLUMBUS,OH,1994,26,0,0,0,0,131000.0,0.0,1,0,1,1,Medio,Sin Saldo
