iter	Passed	Remaining
0	54	43616
1	88	35400
2	137	36472
3	172	34236
4	193	30772
5	212	28084
6	231	26231
7	248	24630
8	267	23501
9	288	22788
10	311	22337
11	335	22031
12	354	21447
13	374	21047
14	397	20818
15	428	20977
16	467	21512
17	510	22195
18	547	22500
19	573	22351
20	593	22009
21	616	21803
22	647	21866
23	670	21686
24	689	21383
25	713	21253
26	738	21140
27	766	21143
28	801	21299
29	847	21765
30	872	21638
31	896	21507
32	919	21379
33	941	21201
34	961	21007
35	982	20859
36	1007	20774
37	1029	20642
38	1054	20576
39	1080	20531
40	1115	20644
41	1141	20606
42	1172	20636
43	1201	20651
44	1226	20583
45	1252	20537
46	1278	20484
47	1304	20441
48	1330	20393
49	1351	20279
50	1382	20309
51	1413	20339
52	1447	20405
53	1496	20676
54	1543	20912
55	1584	21049
56	1599	20852
57	1628	20834
58	1652	20756
59	1681	20744
60	1708	20697
61	1736	20668
62	1771	20726
63	1822	20961
64	1861	21046
65	1891	21036
66	1929	21104
67	1974	21260
68	2019	21400
69	2049	21374
70	2074	21301
71	2085	21084
72	2109	21009
73	2132	20926
74	2165	20937
75	2195	20915
76	2218	20832
77	2241	20752
78	2268	20707
79	2292	20632
80	2316	20560
81	2349	20571
82	2377	20535
83	2405	20502
84	2434	20477
85	2459	20418
86	2483	20350
87	2507	20286
88	2529	20207
89	2552	20135
90	2578	20085
91	2607	20063
92	2630	19997
93	2655	19941
94	2680	19890
95	2709	19867
96	2734	19820
97	2763	19793
98	2800	19832
99	2860	20022
100	2914	20173
101	2959	20252
102	3023	20461
103	3113	20839
104	3172	20995
105	3210	21019
106	3238	20976
107	3259	20886
108	3285	20829
109	3313	20781
110	3341	20742
111	3361	20651
112	3385	20580
113	3411	20531
114	3438	20480
115	3462	20413
116	3484	20343
117	3514	20312
118	3540	20258
119	3550	20119
120	3572	20048
121	3611	20071
122	3653	20109
123	3691	20127
124	3725	20115
125	3772	20181
126	3841	20355
127	3891	20432
128	3934	20465
129	3979	20510
130	4011	20485
131	4070	20599
132	4113	20630
133	4125	20502
134	4174	20565
135	4211	20564
136	4242	20530
137	4265	20461
138	4291	20407
139	4319	20362
140	4342	20297
141	4370	20252
142	4394	20190
143	4418	20129
144	4439	20054
145	4460	19981
146	4468	19849
147	4490	19782
148	4512	19713
149	4534	19647
150	4558	19591
151	4584	19543
152	4608	19486
153	4636	19448
154	4662	19403
155	4686	19347
156	4710	19290
157	4734	19239
158	4777	19261
159	4815	19260
160	4851	19253
161	4881	19222
162	4901	19155
163	4931	19124
164	4959	19087
165	4984	19037
166	5011	18996
167	5037	18951
168	5066	18917
169	5089	18862
170	5115	18816
171	5141	18771
172	5164	18717
173	5190	18673
174	5214	18623
175	5248	18608
176	5271	18555
177	5292	18495
178	5328	18484
179	5350	18431
180	5373	18376
181	5403	18347
182	5439	18340
183	5462	18288
184	5501	18288
185	5533	18265
186	5567	18250
187	5592	18205
188	5619	18165
189	5646	18126
190	5670	18079
191	5697	18043
192	5725	18005
193	5776	18045
194	5826	18077
195	5856	18048
196	5894	18041
197	5957	18112
198	5983	18069
199	6012	18036
200	6041	18003
201	6064	17954
202	6093	17921
203	6121	17885
204	6147	17842
205	6172	17799
206	6191	17738
207	6218	17699
208	6245	17659
209	6277	17635
210	6303	17596
211	6330	17557
212	6351	17504
213	6388	17493
214	6430	17496
215	6488	17542
216	6527	17536
217	6549	17484
218	6580	17458
219	6620	17453
220	6656	17440
221	6688	17414
222	6719	17386
223	6749	17355
224	6774	17313
225	6798	17267
226	6822	17222
227	6847	17179
228	6877	17149
229	6903	17109
230	6930	17070
231	6959	17037
232	6982	16992
233	7005	16944
234	7034	16913
235	7067	16890
236	7093	16851
237	7117	16806
238	7142	16765
239	7171	16733
240	7196	16693
241	7223	16656
242	7247	16613
243	7275	16579
244	7302	16541
245	7329	16506
246	7353	16462
247	7377	16419
248	7402	16381
249	7425	16336
250	7452	16299
251	7480	16267
252	7506	16228
253	7528	16183
254	7552	16141
255	7581	16110
256	7611	16082
257	7635	16039
258	7665	16011
259	7692	15976
260	7723	15950
261	7754	15923
262	7781	15889
263	7811	15860
264	7842	15832
265	7867	15793
266	7891	15752
267	7917	15716
268	7956	15705
269	8022	15748
270	8066	15745
271	8106	15736
272	8129	15693
273	8157	15660
274	8186	15628
275	8208	15584
276	8237	15553
277	8268	15525
278	8295	15490
279	8323	15457
280	8354	15429
281	8380	15394
282	8407	15359
283	8432	15320
284	8461	15290
285	8498	15273
286	8533	15253
287	8560	15217
288	8584	15179
289	8610	15141
290	8632	15099
291	8657	15061
292	8687	15032
293	8709	14990
294	8735	14954
295	8778	14946
296	8810	14920
297	8845	14901
298	8866	14855
299	8890	14818
300	8916	14781
301	8941	14744
302	8969	14712
303	8999	14682
304	9021	14641
305	9040	14594
306	9062	14553
307	9086	14514
308	9117	14487
309	9145	14455
310	9171	14420
