id,LoanNr_ChkDgt,Name,City,State,Bank,BankState,ApprovalDate,ApprovalFY,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,BalanceGross,Accept,IsFranchise
bd9d6267ec5,1523195006,"P-SCAPE LAND DESIGN, LLC",NORTHFIELD,OH,CITIZENS BANK NATL ASSOC,RI,2005-11-01,2006,2,2.0,0,2,0,1,N,N,2005-12-31,8000.0,$0.00 ,1,No
9eebf6d8098,1326365010,The Fresh & Healthy Catering C,CANTON,OH,"FIRSTMERIT BANK, N.A.",OH,2005-06-06,2005,2,2.0,1,2,1,1,N,N,2005-07-31,166000.0,$0.00 ,1,No
83806858500,6179584001,AARON MASON & HOWE LLC,SAWYERWOOD,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,2003-03-18,2003,2,2.0,4,2,1,2,Y,N,2003-03-31,25000.0,$0.00 ,1,No
a21ab9cb3af,8463493009,MID OHIO CAR WASH,COLUMBUS,OH,THE HUNTINGTON NATIONAL BANK,OH,1995-06-28,1995,2,2.0,0,0,1,0,N,N,1996-01-31,220100.0,$0.00 ,1,No
883b5e5385e,3382225007,Bake N Brew LLC,Newark,OH,THE HUNTINGTON NATIONAL BANK,OH,2009-04-16,2009,0,1.0,0,0,0,1,N,N,2009-05-31,25000.0,$0.00 ,0,No
b4f2ba323f6,4784794004,SUN-TERRIFIC TANNING,KETTERING,OH,"PNC BANK, NATIONAL ASSOCIATION",IN,2001-08-07,2001,2,2.0,0,0,1,2,N,Y,2001-09-30,124000.0,$0.00 ,1,No
a947600ebb6,1705265004,"RDL ARCHITECTS, INC.",CLEVELAND,OH,CITIZENS BANK NATL ASSOC,RI,2006-03-10,2006,11,1.0,4,15,0,1,Y,N,2007-02-28,160896.0,$0.00 ,1,No
4e488cc7bd5,3699304009,CORNWELL TOOLS,WOOSTER,OH,STEARNS BK NATL ASSOC,MN,2000-04-18,2000,1,2.0,0,0,20359,2,N,Y,2000-05-31,43000.0,$0.00 ,1,Sí
1bb95a2ca77,9711393008,"MARINE DEVELOPMENT, LTD",HURON,OH,"PNC BANK, NATIONAL ASSOCIATION",DE,1996-10-30,1997,7,1.0,0,0,1,0,N,N,1997-09-30,75000.0,$0.00 ,1,No
f7c38b310e2,6343423006,ZEPPE'S PIZZERIA FRANCHISE CO.,WILLOUGHBY HILLS,OH,NATL BK & TR CO,OH,1994-03-14,1994,4,1.0,0,0,91283,0,N,N,1994-04-30,75000.0,$0.00 ,1,Sí
